公司ID,公司名称,贷款合同ID,贷款起效日期,含供应链信息句子
1000015,META GROUP INC,000095012304015335_0002-(EX-2.1)_AGREEMENT_AND_PLAN_OF_MERGER_y04206dexv2w1.txt,"DECEMBER 26, 2004","Except as disclosed in Section 3.23 of the Disclosure Schedule, (i) neither the Company nor any of its Subsidiaries is a party to or bound by any contract or other agreement with any affiliate of the Company or any of its Subsidiaries (other than the Company or any of its Subsidiaries), (ii) no Affiliate of the Company or any of its Subsidiaries (other than the Company or any of its Subsidiaries) is an officer, director, employee, consultant, distributor, supplier, vendor, customer, client, lessor, licensor, debtor, creditor, competitor or service provider to the Company or any of its Subsidiaries, and (iii) no Affiliate of the Company or any of its Subsidiaries (other than the Company or any of its Subsidiaries) owns or otherwise has any rights to or interest in any of the properties or assets of the Company or any of its Subsidiaries."
1000015,META GROUP INC,000095012304015335_0002-(EX-2.1)_AGREEMENT_AND_PLAN_OF_MERGER_y04206dexv2w1.txt,"DECEMBER 26, 2004","For purposes of this Agreement, the term: (a) ""AFFILIATE"" means a person that directly or indirectly, through one or more intermediaries, controls, is controlled by, or is under common control with, the first mentioned person; including, without limitation, any partnership or joint venture in which the first mentioned person (either alone, or through or together with any other subsidiary) has, directly or indirectly, an interest of 5% or more; (b) ""BUSINESS DAY"" means any day other than a Saturday or Sunday or any day on which banks in Connecticut or Massachusetts are required or authorized to be closed; (c) ""COMPANY MATERIAL ADVERSE EFFECT"" means any change, effect or circumstance that, individually or when taken together with all other such changes, effects or circumstances, (i) is materially adverse to the business, assets, operations, condition (financial or otherwise) or results of operations of the Company and its Subsidiaries taken as a whole or (ii) would reasonably be expected to prevent the Company from timely consummating the transactions contemplated hereby; provided, however, that none of the following shall be deemed to constitute a Company Material Adverse Effect: (A) any change or event attributable to conditions affecting the industries in which the Company participates or the U.S. economy as a whole that does not affect the Company in a disproportionate manner (other than any change or event (including a national calamity) that causes, is caused by or is related to (i) any general suspension of trading in, or limitation on prices for, securities on the New York Stock Exchange or the Nasdaq National Market, (ii) a declaration by a Governmental Entity of a banking moratorium or any suspension of payments in respect of banks in the United States, or (iii) any extraordinary limitation (whether or not mandatory) by any Governmental Entity on the extension of credit generally by banks or other financial institutions); (B) any change or event 44 resulting from compliance with the terms and conditions of this Agreement; (C) any change required by any change in applicable accounting requirements or principles, or applicable laws, rules or regulations which occurs or becomes effective after the date of this Agreement or (D) any change or event to the extent attributable to the announcement or pendency of the Merger that impacts the Company's or any of its Subsidiary's revenues or relationships with its employees, customers, suppliers or partners."
1000015,META GROUP INC,000095012304015335_0003-(EX-99.1)_PRESS_RELEASE_y04206dexv99w1.txt,"DECEMBER 27, 2004","Factors that could cause actual results to differ materially include, but are not limited to: ability to expand or even retain META Group's customer base; ability to integrate META Group's current operations and business; ability to retain META Group's professional staff of research analysts and consultants; ability to pay the Company's debt obligations; ability to achieve continued customer renewals and achieve new contract value, backlog and deferred revenue growth in META Group's business; additional risks associated with international operations; and other risks listed from time to time in the Company's reports filed with the Securities and Exchange Commission, including the Company's Annual Report on Form 10-K for the year ended December 31, 2003 and Quarterly Report on Form 10-Q for the quarter ended September 30, 2004."
1001185,IDX SYSTEMS CORP,000119312504220608_0002-(EX-10.1)_CREDIT_AGREEMENT_BY_AND_AMONG_IDX_dex101.htm,"December 22, 2004","The Borrower will not, and will not permit any Subsidiary to, create, incur, assume or permit to exist any Indebtedness, except: (a) Indebtedness created hereunder; 32 (b) Indebtedness existing on the date hereof and set forth in Schedule 6.01 and extensions, renewals and replacements of any such Indebtedness that do not increase the outstanding principal amount thereof; (c) Indebtedness of the Borrower to any Subsidiary and of any Subsidiary to the Borrower or any other Subsidiary; (d) Purchase money indebtedness incurred in connection with the purchase of equipment; provided that such Indebtedness shall not exceed $1,000,000 in the aggregate; (e) Guarantees by the Borrower of Indebtedness of any Subsidiary and by any Subsidiary of Indebtedness of the Borrower or any other Subsidiary; (f) any customer deposits received by Borrower or its Subsidiaries; (g) Indebtedness arising under Swap Agreements permitted under Section 6.05; (h) Capital lease obligation which, in the aggregate, do not exceed $2,000,000; (i) other unsecured Indebtedness in an aggregate principal amount not exceeding $4,000,000 inclusive of the Indebtedness for capital lease obligations permitted under subparagraph (h) above and purchase money indebtedness permitted under subparagraph (d) above at any time outstanding; provided that (i) the aggregate principal amount of the Indebtedness of Borrower’s Subsidiaries permitted by this clause (e) shall not exceed $1,000,000 at any time outstanding, and (ii) the Borrower shall be in compliance with Section 6.09(a) on a pro forma basis, giving effect to the incurrence of such Indebtedness as if such Indebtedness were incurred on the last day of the fiscal quarter of the Borrower most recently ended on or prior to the date of such incurrence; (j) other unsecured Indebtedness; provided that (i) such Indebtedness is subordinate to all obligations to the Lenders in a form satisfactory to the Administrative Agent and the Required Lenders, (ii) Borrower shall be in compliance with Section 6.09(a) on a pro forma basis giving effect to the incurrence of such Indebtedness as if it were incurred on the last day of the fiscal quarter of the Borrower most recently ended on or prior to the date of such incurrence, and (iii) no portion of such Indebtedness matures prior to the Maturity Date; (k) Indebtedness of any Person that becomes a Subsidiary after the date hereof; provided that (i) such Indebtedness exists at the time such Person becomes a Subsidiary and is not created in contemplation of or in connection with such Person becoming a Subsidiary and (ii) the Borrower shall be in compliance with Section 6.09(a) on a pro forma basis giving effect to the incurrence of such Indebtedness as if such Indebtedness incurred on the last day of the fiscal quarter of the Borrower most recently ended on or prior to the date of such incurrence; and (l) Indebtedness that extends, refinances or renews any of the Indebtedness permitted under this Section."
1002590,STAR GAS PARTNERS LP,000119312504219238_0003-(EX-99.2)_UNAUDITED_PRO-FORMA_CONDENSED_CONSOLIDATED_FINANCIAL_STATEMENTS_dex992.htm,"September 30, 2004","F-1 Pro-forma Consolidated Balance Sheet at September 30, 2004 F-2 Pro-forma Consolidated Statement of Operations for the year ended September 30, 2004 F-3 Explanatory notes to pro-forma condensed consolidated financial statements UNAUDITED PRO FORMA FINANCIAL INFORMATION STAR GAS PARTNERS, L.P. AND SUBSIDIARIES PRO FORMA CONDENSED CONSOLIDATED BALANCE SHEET (in thousands) Historical Sept. 30, 2004 Subtract: Propane Segment Pro Forma Adjustments Pro Forma Sept. 30, 2004 ASSETS Current assets Cash and cash equivalents $ 16,058 $ 11,366 $ 165,200 (a) $ 169,892 Receivables, net of allowance 103,432 19,427 84,005 Inventories 47,624 13,411 34,213 Prepaid expenses and other current assets 67,057 6,084 60,973 Total current assets 234,171 50,288 165,200 349,083 Property and equipment, net 247,524 183,823 63,701 Long-term portion of accounts receivables 6,337 879 5,458 Goodwill 276,137 42,615 233,522 Intangibles, net 180,239 76,314 103,925 Deferred charges and other assets, net 16,568 615 (3,168 ) (b) 12,785 Total Assets $ 960,976 $ 354,534 $ 162,032 $ 768,474 LIABILITIES AND PARTNERS’ CAPITAL Current liabilities Accounts payable $ 35,940 $ 10,930 $ $ 25,010 Working capital facility borrowings 8,000 — 8,000 Current maturities of long-term debt 24,418 — (23,100 ) (c) 1,318 Accrued expenses 73,168 7,907 (2,198 ) (d) 61,998 (1,065 ) (e) Unearned service contract revenue 36,768 1,407 35,361 Customer credit balances 84,162 29,305 54,857 Total current liabilities 262,456 49,549 (26,363 ) 186,544 Long-term debt 503,668 — (235,150 ) (c) 268,518 Other long-term liabilities 25,081 1,127 (900 ) (e) 23,054 Partners’ capital 169,771 303,858 424,445 290,358 (f) Total Liabilities and Partners’ Capital $ 960,976 $ 354,534 $ 162,032 $ 768,474 F-1 UNAUDITED PRO FORMA FINANCIAL INFORMATION STAR GAS PARTNERS, L.P. AND SUBSIDIARIES PRO FORMA CONDENSED CONSOLIDATED STATEMENT OF OPERATIONS FOR THE YEAR ENDED SEPTEMBER 30, 2004 (in thousands, except per unit data) Historical Sept. 30, 2004 Subtract: Propane Segment Pro Forma Adjustments Pro Forma Sept. 30, 2004 Sales: Product $ 1,238,582 $ 317,139 $ — $ 921,443 Installations, service and appliances 215,355 31,707 — 183,648 Total sales 1,453,937 348,846 — 1,105,091 Cost and expenses: Cost of product 779,878 185,725 — 594,153 Cost of installations, service and appliances 216,175 11,273 — 204,902 Delivery and branch expenses 325,686 92,701 — 232,985 Depreciation and amortization expenses 57,343 20,030 — 37,313 General and administrative expenses 30,029 10,092 — 19,937 Operating income 44,826 29,025 — 15,801 Interest expense (49,362 ) (10,390 ) 12,614 (g) (26,358 ) Interest income 3,459 69 — 3,390 Amortization of debt issuance costs (3,646 ) (166 ) 1,900 (h) (1,580 ) Income (loss) from continuing operations before income taxes (4,723 ) 18,538 14,514 (8,747 ) Income tax expense 1,525 285 — 1,240 Income (loss) from continuing operations $ (6,248 ) $ 18,253 $ 14,514 $ (9,987 ) Basic and diluted income (loss) from continuing operations per Limited Partner unit $ (0.18 ) $ 0.51 $ 0.41 $ (0.28 ) Basic weighted average number of Limited Partner units outstanding 35,205 35,205 35,205 35,205 Diluted number of Limited Partner units 35,205 35,205 35,205 35,205 F-2 Explanatory Notes: (a) As a result of the Disposition and Use of Disposition Proceeds, cash increases by $165.2 million."
1002902,VELOCITY EXPRESS CORP,000119312504219724_0002-(EX-10.1)_PURCHASE_AGREEMENT_DATED_DECEMBER_21_2004_dex101.htm,"December 21, 2004","Since June 28, 2003, except for the transactions contemplated by the Transaction Documents (including the Reverse Split and the Capital Increase) and except as identified and described in the Draft 10-K or the SEC Filings or as described on Schedule 4.8 , there has not been: (i) any change in the consolidated assets, liabilities, financial condition or operating results of the Company from that reflected in the financial statements included in the Company’s Quarterly Report on Form 10-Q for the quarter ended March 27, 2004, except for changes in the ordinary course of business which have not and could not reasonably be expected to have a Material Adverse Effect, individually or in the aggregate; (ii) any declaration or payment of any dividend, or any authorization or payment of any distribution, on any of the capital stock of the Company, or any redemption or repurchase of any securities of the Company; (iii) any material damage, destruction or loss, whether or not covered by insurance to any assets or properties of the Company or its Subsidiaries; (iv) any waiver, not in the ordinary course of business, by the Company or any Subsidiary of a material right or of a material debt owed to it; (v) any satisfaction or discharge of any lien, claim or encumbrance or payment of any obligation by the Company or a Subsidiary, except in the ordinary course of business and which is not material to the assets, properties, financial condition, operating results or business of the Company and its Subsidiaries taken as a whole (as such business is presently conducted and as it is proposed to be conducted); (vi) any change or amendment to the Company’s Certificate of Incorporation or By-laws, or material change to any material contract or arrangement by which the Company or any Subsidiary is bound or to which any of their respective assets or properties is subject; (vii) any material labor difficulties or labor union organizing activities with respect to employees of the Company or any Subsidiary; (viii) any material transaction entered into by the Company or a Subsidiary other than in the ordinary course of business; (ix) the loss of the services of any key employee, or material change in the composition or duties of the senior management of the Company or any Subsidiary; -8- (x) the loss or threatened loss of any customer which has had or could reasonably be expected to have a Material Adverse Effect; or (xi) any other event or condition of any character that has had or could reasonably be expected to have a Material Adverse Effect."
1002902,VELOCITY EXPRESS CORP,000119312504219724_0007-(EX-10.6)_CERTIFICATE_OF_DESIGNATIONS_dex106.htm,"December 21, 2004","In addition to any other vote of the holders of Series M Preferred Stock required by law or by the Certificate of Incorporation, without the prior consent of the holders of at least 62.5% of the outstanding Series M Preferred Stock, given in person or by proxy, either in writing or at a special meeting called for that purpose, at which meeting the holders of the shares of such Series M Preferred Stock shall vote together as a class, the Company will not: (a) authorize, create, designate, establish or issue (whether by merger or otherwise) (i) an increased number of shares of Series M Preferred Stock (other than shares of Series M Preferred Stock payable as payment-in-kind dividends on outstanding shares of Series M Preferred Stock), or (ii) any other class or series of capital stock ranking senior to or on parity with the Series M Preferred Stock as to dividends or upon liquidation or reclassify any shares of Common Stock into shares having any preference or priority as to dividends or upon liquidation superior to or on parity with any such preference or priority of Series M Preferred Stock; (b) adopt a plan for the liquidation, dissolution or winding up of the affairs of the Company or any recapitalization plan (whether occurring by merger, consolidation or otherwise), file any petition seeking protection under any federal or state bankruptcy or insolvency law or make a general assignment for the benefit of creditors unless the holders of the Series M Preferred Stock will receive an amount in cash at least equal to the Liquidation Preference in such transaction; (c) merge into or consolidate with engage in any share exchange with any other Person or permit any Person to merge into or consolidate with or engage in any share exchange the Company if immediately thereafter, less than 50% of the voting power of the surviving entity is retained by the holders of voting power of the Company immediately prior thereto unless the holders of the Series M Preferred Stock will receive an amount in cash at least equal to the Liquidation Preference in such transaction; (d) adopt any stock option, stock compensation or stock purchase plan (other than the Stock Option Plan (as defined in the Purchase Agreement)), maintain any stock option, stock compensation or stock purchase plan which contains any “evergreen” or formula provisions increasing the number of shares of Common Stock available for grant thereunder (other than customary anti-dilution adjustments) or amend any existing stock option, stock compensation or stock purchase plan so as to increase the number of shares of Common Stock covered thereby; (e) enter into any transaction with any Affiliate or stockholder of the Company; (f) enter into or consummate the sale, lease, transfer, assignment or other disposition of all or any substantial part of its assets, whether in a single transaction or series of related transactions, to any Person unless the holders of the Series M Preferred Stock will receive an amount in cash at least equal to the Liquidation Preference in such transaction; -14- (g) amend, alter or repeal, whether by merger, consolidation or otherwise, the Certificate of Incorporation or By-laws of the Company or the Resolutions contained in this Certificate of Designations of the Series M Preferred Stock and the powers, preferences, privileges, relative, participating, optional and other special rights and qualifications, limitations and restrictions thereof, which would adversely affect any right, preference, privilege or voting power of the Series M Preferred Stock, or which would increase or decrease the amount of authorized shares of the Series M Preferred Stock or of any other series of preferred stock ranking senior to the Series M Preferred Stock, with respect to the payment of dividends (whether or not such series of preferred stock is cumulative or noncumulative as to payment of dividends) or upon liquidation (h) directly or indirectly, declare or pay any dividend (other than dividends permitted pursuant to Section 2 and dividends payable in shares of Common Stock but only to the extent that such stock dividend results in an adjustment of the Conversion Price pursuant to Section 4(D)(4)) or directly or indirectly purchase, redeem, repurchase or otherwise acquire or permit any Subsidiary to redeem, purchase, repurchase or otherwise acquire (or make any payment to a sinking fund for such redemption, purchase, repurchase or other acquisition) any share of Common Stock or any other class or series of the Company’s capital stock (except for shares of Common Stock repurchased from current of former employees, consultants, or directors upon termination of service in accordance with plans approved by the Company board of directors) whether in cash, securities or property or in obligations of the Company or any Subsidiary; (i) materially change the nature or scope of the business of the Company or enter into any new line of business; (j) consummate or agree to make any sale, transfer, assignment, pledge, lease, license or similar transaction by which the Company grants any rights to any of the Company’s intellectual property or technology other than non-exclusive licenses granted by the Company to customers in connection with the sale of the Company’s products in the ordinary course of business consistent with past practices; (k) increase or decrease the number of directors comprising the Company’s Board of Directors (including the Series M Director); or (l) agree to do any of the foregoing."
1002902,VELOCITY EXPRESS CORP,000119312504219724_0009-(EX-10.8)_WAIVER_AMENDMENT_NO._4_DATED_DECEMBER_21_2004_dex108.htm,"December 21, 2004","Subject to the fulfillment of the conditions precedent listed below, the Purchaser shall be deemed to have consented to and waived any default or Event of Default under the Purchase Agreement resulting from: ( x ) the advance prior to the date hereof of up to $2,200,000 to Parent’s Affiliate, Peritas, LLC, a Delaware limited liability Company (“Peritas”), to permit Peritas to purchase vans or other motor vehicles, which vans or other motor vehicles will be rented to independent contractors of Parent and its Subsidiaries for use in servicing customers of Parent and its Subsidiaries; ( y ) the making of such advances by permitting obligors of Parent and its Subsidiaries to offset against accounts of Parent and its Subsidiaries owed to Parent and its Subsidiaries by such obligors the purchase price of said vans or other motor vehicles; and ( z ) the Company entering into a certain Agency Agreement (“ Agency Agreement ”) with Peritas, dated May 1, 2004 (the transactions referred to in clauses (x), (y) and (z) are hereinafter referred to as the “ Peritas Transactions ”)."
1002902,VELOCITY EXPRESS CORP,000119312504219724_0010-(EX-10.9)_FIFTH_AMENDMENT_TO_AMENDED__RESTATED_LOAN__SECURITY_AGREEMENT_DATED_12212004_dex109.htm,"December 21, 2004","Subject to the fulfillment of the conditions precedent list below, Majority Lenders shall be deemed to have consented to and waived any Default or Event of Default resulting from: (x) Borrowers advancing prior to the date hereof up to $2,200,000 to Borrowers’ Affiliate, Peritas, LLC, a Delaware limited liability Company (“Peritas”), to permit Peritas to purchase vans or other motor vehicles, which vans or other motor vehicles will be rented to independent contractors of Borrowers for use in servicing Borrowers customers; (y) Borrowers making such advances by permitting Account Debtors to offset against Accounts of Borrowers owed to Borrowers by Account Debtors the purchase price of said vans or other motor vehicles; and (z) VEI entering into a certain Agency Agreement (“Agency Agreement”) with Peritas, dated May 1, 2004 (the transactions referred to in clauses (x), (y) and (z) are hereinafter referred to as the “Peritas Transactions”)."
1005972,PARTY CITY CORP,000095012304015227_0002-(EX-10.1)_EX-10.1_EMPLOYMENT_AGREEMENT_y04179exv10w1.htm,"December 23, 2004","The Executive acknowledges that (i) the Executive’s position with the Company requires the performance of services which are special, unique and extraordinary in character and places her in a position of confidence and trust with the customers and employees of the Company, through which, among other things, she will obtain knowledge of the Company’s technical information and know-how and become acquainted with its customers, in which matters the Company has substantial proprietary interests, (ii) the restrictive covenants in this Paragraph 8 are necessary in order to protect and maintain such proprietary interests and other legitimate business interests of the Company, and (iii) the Company would not have entered into this Agreement unless such covenants were included herein."
